,Unnamed: 0,French,English
0,0,partie,part
1,2,chercher,search
2,3,seulement,only
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,7,genre,kind
7,8,mois,month
8,10,laisser,let
9,11,car,because
10,12,mettre,to put
11,13,aucun,no
12,14,laisse,leash
13,16,ville,city
14,17,chaque,each
15,18,parlé,speak
16,19,arrivé,come
17,20,bébé,baby
18,21,longtemps,long time
19,22,heures,hours
20,23,vont,will
21,24,revoir,meet again
22,25,aucune,any
23,26,place,square
24,27,parle,speak
25,28,compris,understood
26,29,savais,knew
27,30,attention,Warning
28,31,voici,here is
29,32,pourrais,could
30,33,affaire,case
31,34,donner,give
32,35,type,type
33,36,leurs,their
34,37,donné,given
35,38,corps,body
36,39,endroit,place
37,40,façon,way
38,41,écoute,listen
39,42,trouve,find
40,43,premier,first
41,45,main,hand
42,46,première,first
43,47,côté,side
44,49,vieux,old
45,51,tiens,here
46,52,matin,morning
47,53,tellement,so much
48,54,enfant,child
49,55,point,point
50,56,venu,came
51,57,suite,after
52,59,venez,come
53,60,devant,in front of
54,61,vers,towards
55,62,minutes,minutes
56,63,demandé,request
57,64,chambre,bedroom
58,65,mis,placed
59,66,belle,beautiful
60,67,droit,law
61,68,aimerais,would like to
62,70,mari,husband
63,72,enfin,finally
64,73,espère,hope
65,74,eau,water
66,75,attendez,Wait
67,76,parti,left
68,77,nouvelle,new
69,78,boulot,job
70,79,dirait,would say
71,80,terre,Earth
72,81,compte,account
73,82,donne,given
74,84,fin,end
75,87,plutôt,rather
76,88,aura,will have
77,89,filles,girls
78,90,jouer,to play
79,91,bureau,office
